Data,tempo,Tmax,Tmed,Tmin,Precipitation 
1/11/2019,1,34.7,27.32,22.4,88.5
2/11/2019,2,35,28.64,21.9,51.5
3/11/2019,3,36.7,29.94,24.5,48
4/11/2019,4,36,30.32,25.4,51
5/11/2019,5,35.4,26.46,21.6,74
6/11/2019,6,28.1,24.54,20.3,70
7/11/2019,7,30.2,25.22,20.4,65
8/11/2019,8,31.8,25.1,21.3,78
9/11/2019,9,30.6,26.24,20.8,63
10/11/2019,10,27.7,23.4,20.5,82.75
11/11/2019,11,30.8,25.5,21.9,73.25
12/11/2019,12,32.2,25.86,19.9,54.75
13/11/2019,13,32.5,25.22,19.9,70
14/11/2019,14,27.4,22.42,20.7,91
15/11/2019,15,29.6,24.54,20,58
16/11/2019,16,30.9,25.24,19.2,51
17/11/2019,17,31.5,25.68,19.7,51
18/11/2019,18,32.2,25.68,19.4,39.75
19/11/2019,19,32.4,25.7,18.6,40.25
20/11/2019,20,33.4,26.7,20.2,43.75
21/11/2019,21,33.5,27.24,20.9,49
22/11/2019,22,34.1,28.24,21.5,55
23/11/2019,23,34.3,27.6,24.3,57.75
24/11/2019,24,29.3,24.4,21,59
25/11/2019,25,31.7,24.68,16.2,53
26/11/2019,26,32.6,26.12,21.1,66
27/11/2019,27,26,22.74,21.4,94.25
28/11/2019,28,30.4,24.06,20.2,79.25
29/11/2019,29,30.9,24.84,17.8,59.5
30/11/2019,30,32.9,26.84,21.7,65.25
1/12/2019,31,31.9,26.72,22.4,69
2/12/2019,32,31.5,26.8,21.9,62.5
3/12/2019,33,27.9,23.28,19,69.25
4/12/2019,34,28.1,21.58,18.4,89.5
5/12/2019,35,26.1,22.96,20.3,92
6/12/2019,36,29.6,24,19.2,60.5
7/12/2019,37,30.4,24.42,17.2,62.75
8/12/2019,38,31.5,25.86,20.9,63.5
9/12/2019,39,27.1,21.62,17.5,83
10/12/2019,40,29.4,24.78,17.4,79.25
11/12/2019,41,26.9,22.18,19.3,88.25
12/12/2019,42,29.7,23.96,16.8,76
13/12/2019,43,31.3,26.84,22,72.5
14/12/2019,44,26.5,23.64,21.4,82.5
15/12/2019,45,29,24.78,19.8,79.25
16/12/2019,46,26.1,21.14,19.4,94.5
17/12/2019,47,21.4,20,19,96
18/12/2019,48,27.3,22.2,19.2,90.5
19/12/2019,49,29.2,23.56,19.6,82.25
20/12/2019,50,29.8,23.72,21.2,86.25
21/12/2019,51,24.6,21.54,19.2,93
22/12/2019,52,29.8,24.12,19.7,79.25
23/12/2019,53,29.9,24.92,19.2,64.25
24/12/2019,54,30,25.18,19.6,67.25
25/12/2019,55,32.2,27.02,21.6,61
26/12/2019,56,33.7,28.18,22.2,55.75
27/12/2019,57,34.5,28.5,23.5,50
28/12/2019,58,32.4,27.08,21.8,58.25
29/12/2019,59,32.4,27.54,22.6,70
30/12/2019,60,33.7,27.8,22.3,51.75
31/12/2019,61,34.3,27.68,21.7,63
1/04/2020,62,32.5,26.8,22.1,58
2/04/2020,63,32.3,25.8,20.2,63.5
3/04/2020,64,27.5,22.5,19.8,43
4/04/2020,65,29.2,21.88,13.1,47.5
5/04/2020,66,31.3,24.76,17.2,52
6/04/2020,67,33.7,23.88,19.5,72
7/04/2020,68,27.4,22.38,18.6,72.25
8/04/2020,69,27.7,22.84,18.2,63.5
9/04/2020,70,28,21.86,17.2,66
10/04/2020,71,28.1,22.06,16,55.75
11/04/2020,72,28.8,22.42,18,55.25
12/04/2020,73,29.6,23.08,17.4,59.75
13/04/2020,74,30.1,24.02,18,55.25
14/04/2020,75,25.5,19.86,18,78.25
15/04/2020,76,21.4,16.24,11.6,57
16/04/2020,77,24.4,17.96,12.8,52.25
17/04/2020,78,28,21.06,13.7,51.25
18/04/2020,79,28.5,21.72,16.2,55
19/04/2020,80,28.4,22.18,16.6,60.75
20/04/2020,81,29.2,22.78,17.6,62.5
21/04/2020,82,28.8,22.74,18.6,56.75
22/04/2020,83,29.9,23.2,17.9,52
23/04/2020,84,28,21.7,17.6,57.25
24/04/2020,85,29.7,22.46,16.3,58.75
25/04/2020,86,31.2,25.16,20.1,63.25
26/04/2020,87,31.3,25.68,21.6,56.5
27/04/2020,88,29,22.88,18.1,54.75
28/04/2020,89,28.7,23,17.7,53
29/04/2020,90,30.4,23.7,18.3,53.75
30/04/2020,91,30.1,23.42,17.3,61.5
1/05/2020,92,31.1,23.82,17.7,60.75
2/05/2020,93,27.3,22.94,19.4,61
3/05/2020,94,28.1,21,15.8,60.25
4/05/2020,95,28.2,20.84,15.1,60.25
5/05/2020,96,29.4,21.48,14.4,55
6/05/2020,97,23.7,18.92,16.9,71
7/05/2020,98,23.3,15.96,9.2,52
8/05/2020,99,24.4,17.8,12.2,52.25
9/05/2020,100,26.4,19.32,13,59.75
10/05/2020,101,28.3,21.28,16.5,53.25
11/05/2020,102,29.8,22.94,16.6,51.5
12/05/2020,103,26.6,21.22,19.3,71
13/05/2020,104,23.5,19.62,17.4,93.5
14/05/2020,105,25.7,20.56,17.1,78.5
15/05/2020,106,25,19.74,16.3,78.75
16/05/2020,107,25.3,19.26,14.8,70.5
17/05/2020,108,28.2,20.56,12.8,60
18/05/2020,109,28.5,21.24,14.8,49.5
19/05/2020,110,27.8,21.8,16.9,50
20/05/2020,111,28.5,22.76,18.2,59.25
21/05/2020,112,28.9,23.38,18.6,58.25
22/05/2020,113,27.5,21.02,18.3,86.75
23/05/2020,114,18.7,13.18,10.8,81
24/05/2020,115,14.1,11.04,9.5,89.75
25/05/2020,116,19.4,13.14,7.1,63.5
26/05/2020,117,20.6,15.18,9.7,57.25
27/05/2020,118,25.5,16.76,8.2,55
28/05/2020,119,24.9,17.06,12,50
29/05/2020,120,25.6,18.56,13.2,52.5
30/05/2020,121,27.5,19.66,12.2,50.5
31/05/2020,122,27.7,20.62,13.8,55
1/06/2020,123,21.9,18.8,15.4,82.5
2/06/2020,124,18.4,16.8,15.5,99
3/06/2020,125,23,18.86,15.3,90.75
4/06/2020,126,20.5,18.2,16.7,88
5/06/2020,127,25.7,20.74,16.9,84.25
6/06/2020,128,26.7,14.6,11.1,80.5
7/06/2020,129,25.2,17.54,10,66.75
8/06/2020,130,28,21.68,14.4,76
9/06/2020,131,28.8,23.72,19.3,76
10/06/2020,132,30,23.7,19.6,75.75
11/06/2020,133,30.3,23.82,19.5,67.25
12/06/2020,134,30.1,23.76,18.6,59.5
13/06/2020,135,29.7,23.16,18,68
14/06/2020,136,25.6,21.12,18,73.75
15/06/2020,137,25.3,20.06,15.4,67.5
16/06/2020,138,26.5,20.74,17.2,66.25
17/06/2020,139,26.2,20.7,15.7,69
18/06/2020,140,26.3,20.88,16.9,71.75
19/06/2020,141,28.1,22.2,17.4,62
20/06/2020,142,28.8,22.24,17.8,59
21/06/2020,143,29.4,22.86,18.4,53
22/06/2020,144,29.4,22.18,16.6,55
23/06/2020,145,26.5,20.66,17.8,55.75
24/06/2020,146,27.7,21.74,16.3,51.5
25/06/2020,147,28.2,21.16,18.6,76.5
26/06/2020,148,21.3,18.82,16.6,93.5
27/06/2020,149,19.8,17.02,15.5,95
28/06/2020,150,21.9,16.82,14.8,79.25
29/06/2020,151,22.6,17.56,13.2,76.75
30/06/2020,152,27,19.98,17.2,80
